Creating Table
-- START --
Number block: 23122233
NFTs address: 0xa7a9a8156C24C4B0ca910c3bA842D1F1ac7200ef
number of transfer from 13440000 to 13445000: 89
Add Transfer with (transactionHash - logIndex): (0x4a5ee46b49a2e5cdae2ebb33b564779fe1009baf56130b725f93041fbb077d1e - 96
Add Transfer with (transactionHash - logIndex): (0xf1f49257de16e32d3d3e1382f432b074b6c445bd3766bd7f9e14ba5c9a222a6a - 37
Add Transfer with (transactionHash - logIndex): (0xc87a402d1f62a2769f3e2a551eae5e432fa04e64d6f3fad3d202326c197bc23f - 90
Add Transfer with (transactionHash - logIndex): (0x977699060b22b536b4ec199c8f4cb9fc74b8beae3b10600f78fef1a2972936ac - 61
Add Transfer with (transactionHash - logIndex): (0x0bff0704bc0ac1a519385021b2decef087a4d4b55e66f9041ea552ac5174b8b1 - 34
Add Transfer with (transactionHash - logIndex): (0xd3ed823c5e425c9f9de689c995082f172545f65354031d87b88df6787b2acf8b - 102
Add Transfer with (transactionHash - logIndex): (0xc5ee04c3086822034d9e135f6769c05d86cecda8240b4623a4c17dafd5804166 - 117
Add Transfer with (transactionHash - logIndex): (0xa36790848d282474ec1b35323269bb8a085b9404b25f1c0b780bb6a1ed7047b3 - 56
Add Transfer with (transactionHash - logIndex): (0xf1ed1e4ce3b85caf3ecad4261f8b68488522c2a1daf05a469446f29349d47073 - 84
Add Transfer with (transactionHash - logIndex): (0xf7defae850fb6d98773634a4c76e24e15312d52c4fef93b1dc04ee4889ebb901 - 71
Add Transfer with (transactionHash - logIndex): (0x6e37e53128c4f57ff31f04ea159cefc953ec61f0125dc37cbf9c419abaf2586d - 116
Add Transfer with (transactionHash - logIndex): (0xc0e1a9fa6db3018add841673c8fdc4a2980083b9cc379dd0a493104e9df649fd - 97
Add Transfer with (transactionHash - logIndex): (0x4de3cd7926d030431cd1b4c36e9452cf649cfe0e8c044c71ebef8f4d655be836 - 99
Add Transfer with (transactionHash - logIndex): (0x606d7ad297383763e64fc29b9014568d65449bd47e7233b8ad20c23048600add - 49
Add Transfer with (transactionHash - logIndex): (0xcf37f2faa7ad1dd330268d4030c80819c06e12ceb0a193645e639ff6e656da08 - 71
Add Transfer with (transactionHash - logIndex): (0x596159978df576655cdad06ddac80308fe615dbd6fb5b9995ea74cd802c94515 - 140
Add Transfer with (transactionHash - logIndex): (0x0be16e99d7e7c9f90ddf1c896636638f81a6922a442a502a5b96bc7585f758cb - 122
Add Transfer with (transactionHash - logIndex): (0xe3d68ba0d9605cf39f63e75ddbca75252a0227890e8f10b70901f4c2990475c1 - 81
Add Transfer with (transactionHash - logIndex): (0x163c575a89584c12e90c34ac0727909b10e9d01922a8c4dbf3a5ba2e0f407ab9 - 83
Add Transfer with (transactionHash - logIndex): (0x6929db6d79923751ef689354f73fa6ed00cf29759153e04112a982e9b7f78b16 - 69
Add Transfer with (transactionHash - logIndex): (0x580b0ac31db31dcebe3ed2b4bc56efd082662d4244f408c45b9fdec79f9a7a93 - 46
Add Transfer with (transactionHash - logIndex): (0x7d94a7653d2d002a6089b8fe7c28708692bf0a6458c987df1651e794d1229c96 - 29
Add Transfer with (transactionHash - logIndex): (0x214e47388e71e3019bc587b38d3660d9a541401b9719034f7797d64c326d0f0b - 60
Add Transfer with (transactionHash - logIndex): (0xbc764b68558566a0fdc03d18841c5bdc1551a1c4bfde31adbc23b9bf56a83284 - 65
Add Transfer with (transactionHash - logIndex): (0x0dff964a291f977e0aafda9e27b2f4cfd09fe1e75946cdc1f307fafa033a7948 - 63
Add Transfer with (transactionHash - logIndex): (0xea77466981cc49a0c9b6a254bcf09c7cb1d973482e69858b57090d5c5e9a6a7f - 80
Add Transfer with (transactionHash - logIndex): (0x778bbaf1f27c0323772fa119e18fd22ba87d434098f0cf1ff76a11c357e45d5c - 42
Add Transfer with (transactionHash - logIndex): (0x344d34595a4e5abc1bda065d42c4b042f27e68a095ea3bdfe16b187989c228a6 - 73
Add Transfer with (transactionHash - logIndex): (0x9df0f34705a51cfc8a0ef1a8dd70ba406ff8535992550b60d1b9368334657831 - 105
Add Transfer with (transactionHash - logIndex): (0xdd9808966c5ccaabee769411967a10abcecbf6a213901710e978bbb57cfac231 - 76
Add Transfer with (transactionHash - logIndex): (0x436d925d19243094a24d385c12e980fe32be3934560608c0ec4cdd629a982da9 - 83
Add Transfer with (transactionHash - logIndex): (0xeb6eb77fd1986affde2bc0170aae6600efa97ed4354c3ad5b31b35c753ccc733 - 176
Add Transfer with (transactionHash - logIndex): (0xb83931808c831ea3d6b5161ba4c1e67f94cd74ded2d92c663d6315ab1fa6963f - 143
Add Transfer with (transactionHash - logIndex): (0xb58403197c6c1058b609fc2a0b97acf5504e6a38d98254a855bbdf7c7834580a - 71
Add Transfer with (transactionHash - logIndex): (0xdaa8f45a38c58178e961aa3bca0b0c770821a81052e6564b36387ed7dbafa25e - 130
Add Transfer with (transactionHash - logIndex): (0x78ddefd0b11c77ce3d8b9007fc182bd02d202aa3cb78cea3e1014bcfd74f4382 - 72
Add Transfer with (transactionHash - logIndex): (0xf83e1fd9283a4f69eb7d8db46051d2d81882732e12b1803d232fa9c655f47132 - 112
Add Transfer with (transactionHash - logIndex): (0x6d6db2b1b452530e9558ad2053bfa5fce46bbb9bd0aa27b1affe2d08117da9f9 - 31
Add Transfer with (transactionHash - logIndex): (0x1e8f87427b5d74854935872da114171d28a3ebe00b7fa476c5776b9e388d839e - 57
Add Transfer with (transactionHash - logIndex): (0xea8156767cfba98967d4a216cf795ec4a45ee24c5a763643f5b7b23284b8bcd5 - 62
number of transfer from 13460000 to 13465000: 67
Add Transfer with (transactionHash - logIndex): (0x8010681cc315e75646d9365a9a2fddcceccf965831985e6ba84a5dceeab3e496 - 132
Add Transfer with (transactionHash - logIndex): (0xb152167a3649eb37f1a7cba17f14880ab817024775aafe03527aade3068b8f38 - 71
