Creating Table
-- START --
Number block: 23121967
NFTs address: 0xa7a9a8156C24C4B0ca910c3bA842D1F1ac7200ef
number of transfer from 11715000 to 11720000: 17
Add Transfer with (transactionHash - logIndex): (0xa1a428e7f6434bcf62186d378180a54f129b92d411088c9e0f07ff10c1d16add - 520
Add Transfer with (transactionHash - logIndex): (0xe52c1546becb2c077c1155467052beedb94293268230b0a8efaf1bacd3ef8334 - 257
Add Transfer with (transactionHash - logIndex): (0x89346abe2251fbd6aff7c06a84161b196ac5ac0767ce1d14944912f32f69f9d6 - 620
Add Transfer with (transactionHash - logIndex): (0x8ecc187cf3be00a5b6b1f88ae7261d0522a6819f8a62ff426096ed615cf8b885 - 355
Add Transfer with (transactionHash - logIndex): (0x3675b97743b8a6d48ac94e088b632095c4ddbea8e0f1eb46f71af947cf27a8c7 - 415
Add Transfer with (transactionHash - logIndex): (0xd79588afaa5e799a0cdef4ec6a91483bf5749a6dcabc4114b1c7e3f2615391d3 - 386
Add Transfer with (transactionHash - logIndex): (0x081a7e01f71e06e014ee298b1942b8ab1337a941a8249ad5f9c16dfb41ef99fa - 418
Add Transfer with (transactionHash - logIndex): (0xbdaebbda14d90cf06f6d29efadf621ab37ff55d855f4a2a6c9fc29d0a0bed7dc - 642
Add Transfer with (transactionHash - logIndex): (0xbef66a3cb73748db163b09acecbe7bbcf0112e3992a41dbcac8c238b228d09c3 - 296
number of transfer from 11765000 to 11770000: 22
Add Transfer with (transactionHash - logIndex): (0x7ffd714e551c1ca4c6d2bb23de4b8936e610eac5f61f2c0233e6992f98d22f3e - 396
Add Transfer with (transactionHash - logIndex): (0xc6ae7e8b217be6bacbd4c1e5cc6c6a797b825d8115c9337afa6b31fadd66b9ed - 578
Add Transfer with (transactionHash - logIndex): (0x3e6169a168f3a32b93cf132714b02f01f2905832516a935cc0006f74be71c416 - 649
Add Transfer with (transactionHash - logIndex): (0x28c04847d5b881f94e6f9cc4cb1f997186f658f98c40dc00035c27ff460e1dd0 - 1035
